num1 	num2 	num3 	dt1 	vc1 	vc2 	 vc3 	text1 	text2
0001	0001	0001	0001	0001	0001	0001	0001	0001	0001	0001	0001	0001	0001
0002	0002	0002	0002	0002	0002	0002	0002	0002	0002	0002	0002	0002	0002
0003	0003	0003	0003	0003	0003	0003	0003	0003	0003	0003	0003	0003	0003
0004	0004	0004	2021/3/11	0004	0004	0004	0004	0004	0004	0004	0004	0004	0004
0005	0005	0005	0005	0005	0005	0005	0005	0005	0005	0005	0005	0005	0005
"0006"	"0006"	"0006"	"0006"	"0006"	"0006"	"0006"	"0006"	"0006"	"0006""0006"
'0007'	'0007'	'0007'	'0007'	'0007'	'0007'	'0007'	'0007'	'0007'	'0007'	'0007'
zzzz	zzzz	zzzz	zzzz	zzzz	zzzz	zzzz	zzzz	zzzz	zzzz	zzzz	zzzz	zzzz	zzzz
"kkkk"	"kkkk"	"kkkk"	"kkkk"	"kkkk"	"kkkk"	"kkssss\"kk"	"kk		kk"	"k	kk	k"	"kk"	"kkkk"
9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999